ImageName,M_Value,OriginalSize_Bytes,CompressedSize_Bytes,CompressionRatio,EncodeTime_ms,DecodeTime_ms,TotalTime_ms
imagens_PPM/monarch.ppm,16,393216,258145,1.5232,58,83,141
imagens_PPM/monarch.ppm,32,393216,299239,1.3141,80,135,215
imagens_PPM/monarch.ppm,64,393216,345326,1.1387,86,165,251
imagens_PPM/monarch.ppm,128,393216,393398,0.9995,90,143,233
imagens_PPM/monarch.ppm,256,393216,442373,0.8889,92,200,292
imagens_PPM/airplane.ppm,16,262144,173107,1.5143,52,89,141
imagens_PPM/airplane.ppm,32,262144,199582,1.3135,55,97,152
imagens_PPM/airplane.ppm,64,262144,230053,1.1395,57,108,165
imagens_PPM/airplane.ppm,128,262144,262178,0.9999,62,120,182
imagens_PPM/airplane.ppm,256,262144,294917,0.8889,63,131,194
imagens_PPM/tulips.ppm,16,393216,259587,1.5148,81,131,212
imagens_PPM/tulips.ppm,32,393216,298710,1.3164,86,147,233
imagens_PPM/tulips.ppm,64,393216,344813,1.1404,89,163,252
imagens_PPM/tulips.ppm,128,393216,393298,0.9998,92,182,274
imagens_PPM/tulips.ppm,256,393216,442372,0.8889,93,171,264
imagens_PPM/peppers.ppm,16,262144,173597,1.5101,57,75,132
imagens_PPM/peppers.ppm,32,262144,198918,1.3178,47,97,144
imagens_PPM/peppers.ppm,64,262144,229870,1.1404,61,108,169
imagens_PPM/peppers.ppm,128,262144,262205,0.9998,63,121,184
imagens_PPM/peppers.ppm,256,262144,294916,0.8889,68,130,198
imagens_PPM/house.ppm,16,65536,43235,1.5158,14,22,36
imagens_PPM/house.ppm,32,65536,49850,1.3147,13,24,37
imagens_PPM/house.ppm,64,65536,57500,1.1398,14,27,41
imagens_PPM/house.ppm,128,65536,65543,0.9999,15,30,45
imagens_PPM/house.ppm,256,65536,73732,0.8888,16,33,49
imagens_PPM/lena.ppm,16,262144,171968,1.5244,54,89,143
imagens_PPM/lena.ppm,32,262144,198742,1.3190,57,95,152
imagens_PPM/lena.ppm,64,262144,229736,1.1411,59,105,164
imagens_PPM/lena.ppm,128,262144,262175,0.9999,61,118,179
imagens_PPM/lena.ppm,256,262144,294917,0.8889,65,132,197
imagens_PPM/girl.ppm,16,262144,171204,1.5312,55,85,140
imagens_PPM/girl.ppm,32,262144,198675,1.3195,56,93,149
imagens_PPM/girl.ppm,64,262144,229785,1.1408,59,105,164
imagens_PPM/girl.ppm,128,262144,262185,0.9998,61,116,177
imagens_PPM/girl.ppm,256,262144,294917,0.8889,64,130,194
imagens_PPM/boat.ppm,16,262144,181510,1.4442,59,91,150
imagens_PPM/boat.ppm,32,262144,201617,1.3002,60,96,156
imagens_PPM/boat.ppm,64,262144,230344,1.1381,62,104,166
imagens_PPM/boat.ppm,128,262144,262200,0.9998,66,118,184
imagens_PPM/boat.ppm,256,262144,294916,0.8889,69,129,198
imagens_PPM/baboon.ppm,16,262144,207158,1.2654,63,102,165
imagens_PPM/baboon.ppm,32,262144,212617,1.2329,66,103,169
imagens_PPM/baboon.ppm,64,262144,233694,1.1217,70,107,177
imagens_PPM/baboon.ppm,128,262144,262531,0.9985,70,120,190
imagens_PPM/baboon.ppm,256,262144,294917,0.8889,76,129,205
imagens_PPM/arial.ppm,16,362355,282224,1.2839,87,153,240
imagens_PPM/arial.ppm,32,362355,292892,1.2372,91,139,230
imagens_PPM/arial.ppm,64,362355,323081,1.1216,93,154,247
imagens_PPM/arial.ppm,128,362355,363186,0.9977,96,168,264
imagens_PPM/arial.ppm,256,362355,407674,0.8888,104,165,269
